MP_K,Normalized SMILES,RANDOM,IL,Normalized SMILES1
345.0,Cn1cc[nH+]c1.[Cl-],1,1,Cn1cc[nH+]c1.[Cl-]
314.0,Cn1cc[nH+]c1.[Br-],2,2,Cn1cc[nH+]c1.[Br-]
430.0,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],3,3,Cn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-]
310.0,Cn1cc[nH+]c1.F[B-](F)(F)F,4,4,Cn1cc[nH+]c1.F[B-](F)(F)F
282.0,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5,5,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
284.0,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,6,6,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
343.0,Cn1cc[nH+]c1.O=[N+]([O-])[O-],7,7,Cn1cc[nH+]c1.O=[N+]([O-])[O-]
357.0,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,8,8,Cn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F
389.0,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F,9,9,Cn1cc[nH+]c1.F[P-](F)(F)(F)(F)F
324.0,Cn1cc[nH+]c1.O=C([O-])C(F)(F)F,10,10,Cn1cc[nH+]c1.O=C([O-])C(F)(F)F
250.0,CC(=O)[O-].Cn1cc[nH+]c1,11,11,CC(=O)[O-].Cn1cc[nH+]c1
331.0,CCn1cc[nH+]c1.[Cl-],12,12,CCn1cc[nH+]c1.[Cl-]
333.0,CCn1cc[nH+]c1.[Br-],13,13,CCn1cc[nH+]c1.[Br-]
294.0,CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-],14,14,CCn1cc[nH+]c1.[O-][Cl+3]([O-])([O-])[O-]
304.0,CCn1cc[nH+]c1.O=[N+]([O-])[O-],15,15,CCn1cc[nH+]c1.O=[N+]([O-])[O-]
281.0,CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F,16,16,CCn1cc[nH+]c1.O=S(=O)([O-])C(F)(F)F
398.0,Cn1cc[n+](C)c1.[Cl-],17,17,Cn1cc[n+](C)c1.[Cl-]
376.0,Cn1cc[n+](C)c1.F[B-](F)(F)F,18,18,Cn1cc[n+](C)c1.F[B-](F)(F)F
295.0,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,19,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
325.0,Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,20,20,Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F
288.0,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F,21,21,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)F
300.0,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,22,22,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
284.0,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,23,23,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
289.0,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,24,24,Cn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
454.0,Cc1[nH+]ccn1C.[Cl-],25,25,Cc1[nH+]ccn1C.[Cl-]
449.0,Cc1[nH+]ccn1C.[Br-],26,26,Cc1[nH+]ccn1C.[Br-]
337.0,Cc1[nH+]ccn1C.[O-][Cl+3]([O-])([O-])[O-],27,27,Cc1[nH+]ccn1C.[O-][Cl+3]([O-])([O-])[O-]
295.0,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,28,28,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
288.0,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,29,29,Cc1[nH+]ccn1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
357.0,Cc1[nH+]ccn1C.O=[N+]([O-])[O-],30,30,Cc1[nH+]ccn1C.O=[N+]([O-])[O-]
392.0,Cc1[nH+]ccn1C.O=S(=O)([O-])C(F)(F)F,31,31,Cc1[nH+]ccn1C.O=S(=O)([O-])C(F)(F)F
388.0,Cc1[nH+]ccn1C.F[P-](F)(F)(F)(F)F,32,32,Cc1[nH+]ccn1C.F[P-](F)(F)(F)(F)F
353.0,CC[n+]1ccn(C)c1.[Cl-],33,33,CC[n+]1ccn(C)c1.[Cl-]
352.0,CC[n+]1ccn(C)c1.[I-],34,34,CC[n+]1ccn(C)c1.[I-]
253.0,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,35,35,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F
274.0,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,36,36,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
281.0,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,37,37,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
269.0,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,38,38,CC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
259.0,CCC[B-](F)(F)F.CC[n+]1ccn(C)c1,39,39,CCC[B-](F)(F)F.CC[n+]1ccn(C)c1
264.0,CCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,40,40,CCCC[B-](F)(F)F.CC[n+]1ccn(C)c1
289.0,CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1,41,41,CCCCC[B-](F)(F)F.CC[n+]1ccn(C)c1
257.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,42,42,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
272.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,43,43,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
252.0,CC[n+]1ccn(C)c1.N#C[N-]C#N,44,44,CC[n+]1ccn(C)c1.N#C[N-]C#N
276.0,CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,45,45,CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
328.0,CC[n+]1ccn(C)c1.O=N[O-],46,46,CC[n+]1ccn(C)c1.O=N[O-]
311.0,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],47,47,CC[n+]1ccn(C)c1.O=[N+]([O-])[O-]
260.0,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,48,48,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F
301.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,49,49,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
257.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,50,50,CC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F
278.0,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],51,51,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-]
208.0,CC[n+]1ccn(C)c1.O=S(=O)([O-])OC(F)(F)C(F)(F)F,52,52,CC[n+]1ccn(C)c1.O=S(=O)([O-])OC(F)(F)C(F)(F)F
236.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,53,53,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
259.0,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,54,54,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F
228.0,CC(=O)[O-].CC[n+]1ccn(C)c1,55,55,CC(=O)[O-].CC[n+]1ccn(C)c1
226.0,CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1C(=O)O,56,56,CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1C(=O)O
312.0,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,57,57,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
263.0,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,58,58,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N
267.0,CC[n+]1ccn(C)c1.N#C[S-],59,59,CC[n+]1ccn(C)c1.N#C[S-]
451.0,CCn1cc[nH+]c1C.[Cl-],60,60,CCn1cc[nH+]c1C.[Cl-]
417.0,CCn1cc[nH+]c1C.[Br-],61,61,CCn1cc[nH+]c1C.[Br-]
280.0,CCn1cc[nH+]c1C.[O-][Cl+3]([O-])([O-])[O-],62,62,CCn1cc[nH+]c1C.[O-][Cl+3]([O-])([O-])[O-]
254.0,CCn1cc[nH+]c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,63,63,CCn1cc[nH+]c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
348.0,CCn1cc[nH+]c1C.O=[N+]([O-])[O-],64,64,CCn1cc[nH+]c1C.O=[N+]([O-])[O-]
306.0,CCn1cc[nH+]c1C.O=S(=O)([O-])C(F)(F)F,65,65,CCn1cc[nH+]c1C.O=S(=O)([O-])C(F)(F)F
318.0,Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F,66,66,Cn1cc[n+](CC(F)(F)F)c1.O=S(=O)([O-])C(F)(F)F
296.0,CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,67,67,CCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F
333.0,CCC[n+]1ccn(C)c1.[Cl-],68,68,CCC[n+]1ccn(C)c1.[Cl-]
256.0,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,69,69,CCC[n+]1ccn(C)c1.F[B-](F)(F)F
252.0,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,70,70,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F
231.0,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,71,71,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
268.0,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,72,72,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
261.0,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,73,73,CCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
307.0,CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,74,74,CCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
313.0,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,75,75,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
387.0,CC(C)[n+]1ccn(C)c1.[I-],76,76,CC(C)[n+]1ccn(C)c1.[I-]
289.0,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,77,77,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
302.0,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,78,78,CC(C)[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375.0,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,79,79,CC(C)[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
340.0,COCC[n+]1ccn(C)c1.[Cl-],80,80,COCC[n+]1ccn(C)c1.[Cl-]
275.0,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F,81,81,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)F
264.0,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,82,82,COCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
300.0,COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,83,83,COCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F
299.0,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,84,84,COCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F
377.0,CCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,85,85,CCCC[n+]1ccn(C)c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
377.0,CCCC[n+]1ccn(C)c1.C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1,86,86,CCCC[n+]1ccn(C)c1.C[Si](C)(CCC(F)(F)F)c1ccc([B-](c2ccc([Si](C)(C)CCC(F)(F)F)cc2)(c2ccc([Si](C)(C)CCC(F)(F)F)cc2)c2ccc([Si](C)(C)CCC(F)(F)F)cc2)cc1
363.0,CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,87,87,CCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc([B-](c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1
231.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,88,88,CCCC[n+]1ccn(C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F
188.0,CC(CC#N)[B-](F)(F)F.CCCC[n+]1ccn(C)c1,89,89,CC(CC#N)[B-](F)(F)F.CCCC[n+]1ccn(C)c1
264.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,90,90,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
267.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,91,91,CCCC[n+]1ccn(C)c1.N#C[N-]C#N
289.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,92,92,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F
293.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,93,93,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
256.0,CCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,94,94,CCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1
258.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F,95,95,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])OCCCC(F)(F)C(F)(F)F
